session_id,count_4624,count_4625,count_4634,count_4648,count_4672,count_4688,count_4689,count_4720,count_4732,count_7045,count_7036,count_4663,count_4656,count_total,td_mean,td_std,td_min,td_max,n_unique_sources,n_unique_users,n_unique_hosts,seq_entropy,label
000a7afe-9d8f-4490-b3e9-0901c739f270,1,0,1,1,0,3,0,0,0,0,0,13,1,20,54.421052631578945,75.29123510145449,3.0,241.0,1,1,1,1.678897902987479,0
000ecd83-0392-4e34-af25-ea5cbb932252,1,0,1,3,0,1,1,0,0,1,1,13,0,22,47.095238095238095,79.00928502512477,2.0,291.0,2,1,1,2.0566768987283126,0
0019f9b1-d98f-480a-93b1-ef3a7c64bf6b,1,0,0,1,0,0,0,0,0,0,0,22,2,26,14.72,38.305634050358705,0.0,140.0,1,1,1,0.8501514254479946,1
002518a1-7433-4ac8-ab86-6c37f27622d0,1,0,1,0,1,2,1,0,0,0,0,0,0,6,20.6,33.326265917441155,0.0,87.0,1,1,1,2.251629167387823,1
005f49c6-6d3f-4fae-a844-9ee870762ca8,1,1,0,2,1,1,1,0,0,1,1,9,3,21,47.45,69.2672180760856,1.0,215.0,2,1,1,2.712116826819509,0
005fe98a-d57a-49a6-a7af-dd2e653f0a6a,1,0,1,0,0,2,2,0,0,1,1,0,0,8,138.42857142857142,104.71847584678393,8.0,297.0,2,1,1,2.5,0
00648a2e-96f0-4946-ac2a-b67fe7cc8b5a,1,1,1,1,1,3,3,0,0,0,0,2,1,14,90.07692307692308,77.22341368588788,10.0,254.0,1,1,1,2.985228136034252,0
006bfc07-11d6-4327-95eb-ce5e9da219e0,1,7,0,0,1,1,1,0,0,0,0,0,2,13,33.5,56.11966381462621,1.0,161.0,1,1,1,2.0349409139562287,1
008916f8-bcee-4aa5-9eaf-3e1e38de6eef,1,0,1,1,0,1,1,0,0,1,1,1,0,8,101.42857142857143,55.8642669917955,21.0,205.0,2,1,1,3.0,0
008e03ff-8e80-4f72-a1c4-5688a115150b,1,0,1,2,1,3,2,0,0,1,1,0,0,12,106.54545454545455,100.69157555838399,6.0,283.0,2,1,1,2.855388542207534,0
00926334-a9fa-4cf8-942e-c77306b2d03e,1,0,0,0,1,1,1,0,0,0,0,0,1,5,33.25,48.48904515455011,1.0,117.0,1,1,1,2.3219280948873626,1
00a6cfda-ea3c-4f8b-b6e4-5092c8783990,1,1,1,0,1,3,3,0,0,1,1,13,0,25,51.291666666666664,74.85512628107413,2.0,286.0,2,1,1,2.339236536168279,0
00cae26d-f206-4fa5-915a-6a9b7638ec9d,1,0,1,2,1,2,2,0,0,0,0,4,2,15,142.07142857142858,91.31066616284234,6.0,281.0,1,1,1,2.8402239289418523,0
00d25950-53b4-4547-940d-58325d4c5949,1,0,0,3,1,1,3,0,0,0,0,1,0,10,95.66666666666667,74.2188954676937,20.0,203.0,1,1,1,2.3709505944546687,0
00d26f5c-75d7-475a-88ab-5531c41232ff,1,0,1,0,0,1,1,0,0,0,0,4,3,11,144.1,72.70550185508658,43.0,263.0,1,1,1,2.2998963911678914,0
00db7964-f374-4ba1-b569-ceab0258b207,1,0,1,1,1,1,1,0,0,1,1,0,1,9,30.25,38.316934898292686,0.0,110.0,2,1,1,3.1699250014423126,1
01045049-317c-47fc-bf64-0a3aed31b550,1,0,1,2,0,1,3,0,0,0,0,0,4,12,168.1818181818182,94.85378046984466,33.0,285.0,1,1,1,2.355388542207534,0
0131aa29-9a8b-4b73-a5ee-b6f804f2b6de,1,1,1,1,0,6,1,0,0,0,0,2,0,13,132.25,84.93146747034733,11.0,278.0,1,1,1,2.353533948577482,0
01349d64-963f-4a1a-abca-c19179c8dc4c,1,2,1,2,1,1,1,0,0,0,0,0,1,10,64.66666666666667,80.77540879913062,5.0,265.0,1,1,1,2.9219280948873627,0
013d9a08-9934-4057-ad82-6fdbc9cfc196,1,0,0,0,0,0,1,0,0,0,0,22,0,24,2.6956521739130435,8.634786987169957,0.0,43.0,1,1,1,0.49715018363696695,1
015119d9-38af-4b44-8c2e-3e4c7f7cb30b,1,2,1,2,1,3,2,0,0,1,1,2,2,18,106.70588235294117,96.36252915019124,3.0,270.0,2,1,1,3.3502090290998985,0
016c8b78-25f3-4caf-90a0-0b6d2c7a6517,1,1,0,0,0,1,1,0,0,0,0,9,6,19,86.05555555555556,105.36258677233597,1.0,296.0,1,1,1,1.9300801441115993,0
0170a633-b9f7-46ac-a6b6-a70b71bf0d10,1,13,0,0,0,1,1,0,0,0,0,2,1,19,53.05555555555556,91.93081469974051,2.0,290.0,1,1,1,1.6107845483996805,0
018b2813-6a2f-45e7-963f-613d8c550a83,1,12,0,0,0,0,3,0,0,0,0,0,4,20,42.421052631578945,59.28372084127905,3.0,231.0,1,1,1,1.5332062193464953,0
01914fc0-9fc5-4be0-a9b4-9e435f4b4b0d,1,14,0,1,1,1,3,0,0,0,0,1,1,23,38.0,61.47578976534362,1.0,250.0,1,1,1,1.9993073294931032,0
0196e21b-ae42-4d9b-9edc-d0557dee86eb,1,0,1,3,1,4,2,0,0,0,0,1,0,13,135.5,87.00909914102854,7.0,275.0,1,1,1,2.565448371820826,0
